MT-CO1,RFP,849775.5422521459,19.696722295871826,1,No
EEF1A1,RFP,419703.099526209,18.67900959206754,2,No
MT-CO2,RFP,275255.7764057299,18.070413314355275,3,No
MT-CO3,RFP,236658.81013674283,17.852449104960165,4,No
MT-ND4,RFP,224512.2303891852,17.776434512905308,5,No
MT-CYB,RFP,177863.31250377483,17.440409434017404,6,No
MT-ND5,RFP,142203.33793909135,17.11759580417371,7,No
VIM,RFP,140059.49577357445,17.095680273208277,8,No
ACTG1,RFP,138933.52945626786,17.084035287887154,9,No
GAPDH,RFP,127462.95736733041,16.959718513778913,10,No
TMSB4X,RFP,121440.00344261016,16.88988421120069,11,No
MT-ND2,RFP,120373.96412712603,16.877163857510002,12,No
SLC2A1,RFP,116534.05551998044,16.83039209927384,13,No
ACTB,RFP,106856.29847444365,16.705312422303855,14,No
MT-ND1,RFP,105672.19056121774,16.689236231307266,15,No
FTH1,RFP,104965.66483834069,16.67955796167813,16,No
MTRNR2L12,RFP,99400.13697148122,16.60096021934446,17,No
MT-ATP6,RFP,96837.51758816361,16.563278476140024,18,No
ENO1,RFP,79386.66881681833,16.27660913947898,19,Yes
EEF2,RFP,68321.80795950786,16.060058532196734,20,No
PMEL,RFP,67661.93891653848,16.04605689905787,21,No
RPL3,RFP,65631.53442717613,16.002101542417407,22,No
MT-ND4L,RFP,64045.33587831412,15.96680588922273,23,No
HNRNPA1,RFP,63441.64171436296,15.953142484489895,24,No
ANXA2,RFP,57475.24549948982,15.810653102826791,25,No
EEF1G,RFP,56565.39678068361,15.787632150639105,26,No
CTGF,RFP,55587.46063304166,15.762471857412075,27,No
TUBB,RFP,55341.38738830001,15.75607119178663,28,No
HSP90B1,RFP,54132.07941655522,15.724196188003473,29,No
HSD17B2,RFP,52577.33974071089,15.682153527211446,30,No
HSP90AA1,RFP,52297.837893228054,15.6744636830925,31,No
RPS18,RFP,52190.13536055669,15.671489523292717,32,No
UBC,RFP,51504.090157399005,15.652399386903248,33,No
TPM1,RFP,51466.91767469404,15.651357762471,34,No
EIF4G2,RFP,50996.28631396391,15.638104569545257,35,No
PKM,RFP,50568.82197646338,15.625960550173835,36,No
APLP2,RFP,50322.270949894584,15.618909409362509,37,No
RPL4,RFP,50041.880712681006,15.610848390553402,38,No
HSP90AB1,RFP,49617.67957273954,15.598566647081709,39,No
RPL7,RFP,49382.44910295072,15.591710767692025,40,No
RPL13A,RFP,49332.257154853054,15.590243677658568,41,No
LDHA,RFP,49029.08756063437,15.581350292631404,42,No
FLNA,RFP,48222.42740259605,15.557416654163568,43,No
RPL41,RFP,47781.27333113538,15.544157680477152,44,No
HNRNPA2B1,RFP,47034.35142692463,15.521427190198215,45,No
HSPA8,RFP,46873.885539829666,15.516496769346142,46,No
RPL7A,RFP,46522.807920367115,15.505650553973148,47,No
RPS6,RFP,46313.98649538448,15.499160322503213,48,No
TYRP1,RFP,45083.37036537385,15.460307752815863,49,No
PSAP,RFP,44202.97409643331,15.431855820881694,50,No
MYL6,RFP,43925.0577492986,15.42275656252919,51,No
TPT1,RFP,43761.78105441478,15.417383834912158,52,No
RPS3A,RFP,42976.255171882476,15.391252155467011,53,No
RPL17,RFP,42499.45656557252,15.375156773384116,54,No
RPL37A,RFP,41729.12125100158,15.34876691960509,55,No
TGFBI,RFP,41652.32441124505,15.34610938709719,56,No
RPS2,RFP,41185.191988698505,15.329838093545543,57,No
MYH9,RFP,41170.62771004083,15.329327824498634,58,No
PGAM1,RFP,40984.91857141517,15.32280551111137,59,No
SPARC,RFP,40861.28179758688,15.318446840938671,60,No
ALDH1A3,RFP,39857.16383450202,15.282551433743594,61,No
RPLP0,RFP,39819.27404583397,15.281179298748944,62,No
TIMP3,RFP,38887.30293329408,15.247011558273948,63,No
CANX,RFP,38630.242725541095,15.237443122038638,64,No
RACK1,RFP,38293.19066608025,15.224800253013928,65,No
HIF1A,RFP,38254.92619589093,15.223357919270253,66,Yes
ELN,RFP,38162.387110487514,15.219863796300386,67,No
RPL15,RFP,36905.610016676204,15.17155251637869,68,No
RPL6,RFP,36878.16005977279,15.170479057581906,69,No
HSPA5,RFP,36590.53408467381,15.1591828533212,70,No
RPL10,RFP,36465.46344535026,15.154243109193528,71,No
FTL,RFP,36298.29465526314,15.147614149528383,72,No
ITGAV,RFP,36274.69830391861,15.146675995019953,73,No
RPS11,RFP,35800.07205927907,15.12767487093451,74,No
MYRF,RFP,35241.94993341633,15.10500613018242,75,Yes
PABPC1,RFP,35144.44065127924,15.101008873138683,76,No
PGK1,RFP,35023.060530398674,15.096017540394024,77,No
RPS3,RFP,34649.80020091401,15.080559413009151,78,No
SLC7A8,RFP,34287.803808082856,15.065407879721004,79,No
RPS23,RFP,34160.48021803655,15.0600406356352,80,No
CALR,RFP,33749.965192980024,15.042598393833185,81,No
ALDOA,RFP,33311.49431191289,15.02373245250592,82,No
RPL5,RFP,33302.9425946255,15.023362036699307,83,No
RPL26,RFP,33196.09409317056,15.018725881244734,84,No
TMSB10,RFP,33190.67113730197,15.018490181507632,85,No
COL18A1,RFP,33046.33916109688,15.012202839885795,86,No
RPL37,RFP,32741.88030110966,14.998849554849368,87,No
RPLP1,RFP,32417.97531028632,14.98450636858429,88,No
RPL23A,RFP,32415.283318670867,14.984386562082562,89,No
TPI1,RFP,31965.933110097503,14.964247587380331,90,No
PTMA,RFP,31592.67896339756,14.947302657987091,91,No
RPL9,RFP,31426.46918329591,14.939692571575003,92,No
GPNMB,RFP,31282.191981011903,14.933053987122394,93,No
